City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,tura,25.5198,90.2201,23.24,28,0,0.76,IN,1741487285
299,vuktyl,63.8567,57.3094,-19.87,97,90,1.51,RU,1741487286
300,sibolga,1.7427,98.7792,26.13,82,86,0.56,ID,1741487287
301,gorontalo,0.5412,123.0595,28.43,78,100,0.76,ID,1741487287
302,natal,-5.795,-35.2094,25.12,94,75,3.09,BR,1741487228
303,tsiombe,-25.3,45.4833,23.73,90,1,2.79,MG,1741487290
304,mossel bay,-34.1831,22.146,20.58,92,79,4.3,ZA,1741487059
305,pandan,14.0453,124.1694,26.9,88,89,6.84,PH,1741487292
306,naze,28.3667,129.4833,18.51,80,99,7.58,JP,1741487293
307,idri,27.5,13.2667,16.8,33,0,3.18,LY,1741487294
308,masterton,-40.9597,175.6575,18.83,52,80,5.68,NZ,1741487296
309,tual,-5.6667,132.75,28.69,69,86,1.28,ID,1741487297
310,geraldton,-28.7667,114.6,23.23,49,0,8.23,AU,1741487298
311,mildura,-34.2,142.15,33.37,41,97,9.12,AU,1741487299
312,paracale,14.2804,122.7881,26.67,87,100,4.96,PH,1741487300
313,san ignacio,17.1561,-89.0714,28.08,78,0,3.09,BZ,1741487301
314,ebon,4.582,168.6964,27.65,77,82,8.43,MH,1741487302
315,giddings,30.1827,-96.9364,11.92,71,100,11.32,US,1741487303
316,sechura,-5.5569,-80.8222,26.74,66,100,6.36,PE,1741487304
317,carnarvon,-24.8667,113.6333,25.42,57,0,7.97,AU,1741487306
318,caleta de carquin,-11.0925,-77.6267,23.35,81,97,3.99,PE,1741487307
319,juan griego,11.0817,-63.9655,23.12,92,6,3.59,VE,1741487308
320,nova vicosa,-17.8919,-39.3719,24.86,78,0,2.81,BR,1741487309
321,arraial do cabo,-22.9661,-42.0278,25.36,82,0,5.84,BR,1741487295
322,hammerfest,70.6634,23.6821,-0.75,93,75,3.09,NO,1741487311
323,merizo village,13.2658,144.6691,30.55,80,68,6.87,GU,1741487312
324,akjoujt,19.6969,-14.4164,19.51,28,0,5.65,MR,1741487313
325,keflavik,64.0049,-22.5624,-0.76,86,0,3.09,IS,1741487314
326,kencong,-8.2833,113.3667,27.99,73,100,1.2,ID,1741487316
327,weifang,36.71,119.1019,11.88,51,100,4.36,CN,1741487317
328,queenstown,-31.8976,26.8753,20.51,70,8,1.26,ZA,1741487318
329,colonia menno,-22.3667,-59.8167,29.53,44,99,3.18,PY,1741487092
330,katsuura,35.1333,140.3,8.93,65,54,7.63,JP,1741487320
331,kerikeri,-35.2268,173.9474,23.08,43,89,2.66,NZ,1741487321
332,lincoln city,44.9582,-124.0179,11.49,83,100,2.24,US,1741487322
333,egilsstadir,65.2653,-14.3948,-2.05,86,75,0.51,IS,1741487323
334,korla,41.7597,86.1469,5.86,27,7,0.56,CN,1741487324
335,vrangel',42.7297,133.0839,2.58,67,3,3.31,RU,1741487326
336,pontes e lacerda,-15.2261,-59.3353,22.17,97,100,1.28,BR,1741487327
337,kayangel,8.0823,134.7173,28.16,80,62,9.08,PW,1741487328
